LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,EXTRACK_P_STUCK,EXTRACK_P_DIFFUSIVE,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Probability stuck,Probability diffusive,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,P stuck,P diffusive,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixels),(pixels),(pixels),(frames),,(pixels),,,(counts),(counts),(counts),(counts),(counts),(counts),,,,,(pixels),(pixels),(pixels),(pixels),(radians),,(pixels^2),(pixels),,,
ID36985,36985,4,7400.0,274.2010111929374,369.92492624372227,0.0,106.0,106,48.53506271452777,1,,5.973239626976619,6.0,0.0,6.0,44196.0,0.39983462486706356,,,0.9971091686146805,14.91765080913665,0.4523937693288604,-1.671116311789089,64.11979464133465,39.240571951716156,2.4816838034376065,1.6340178405205539,7400.500000000001,355.2859374946749,0.7367410874499709,0.9359428354622488,4.12997560741784
ID36218,36218,4,4061.0,371.1642467495181,370.9557647348345,0.0,0.0,0,35.964596793344334,1,,4.9766240157480315,5.0,0.0,5.0,20225.0,0.3411189191920971,,,0.9975262031834917,14.571049960941028,-0.20439453048937298,-0.7757066824956145,40.694076328257125,32.517514746041684,-0.6886149253232944,1.2514509994405634,4063.5,249.63349114475884,0.8194159764171767,0.9514165300866305,3.916090488037897
ID36735,36735,4,5585.0,376.2206150171668,369.21494252873566,0.0,68.0,68,42.15406195873669,1,,5.988186862359048,6.0,0.0,6.0,33456.0,0.2659923669909971,,,0.9983270607915924,22.49377980435186,0.4381953993104887,-0.07807000657990874,45.768793555955206,39.65392885897794,0.16579310342450704,1.1542057716077436,5582.500000000002,286.73509504178105,0.8532511693135063,0.9623340803309774,3.837659915632883
ID36481,36481,4,5004.0,375.5296801363682,428.8506133226378,0.0,42.0,42,39.840334429513426,1,,5.984365604329525,6.0,0.0,6.0,29856.0,0.30590962243864533,,,0.9961219584183699,19.524522320184595,0.4484006270201695,0.6196748932787347,42.876383691008144,37.78829131281034,-0.11741173467789523,1.1346473259687433,4986.500000000003,274.48508131605047,0.8317028653147572,0.9458459787556908,3.887056319563778
ID36226,36226,4,2588.0,362.90975043528726,362.6715999226156,0.0,4.0,4,28.68225759667475,1,,4.974815962805114,5.0,0.0,5.0,12840.0,0.35402614407811006,,,0.9945666058428458,14.01383530972571,0.019566020076103103,-0.5100408679632361,41.88349961083864,19.79740205094913,2.1002470186956064,2.1156058508611566,2584.4999999999977,222.18496718385498,0.6578957141494312,0.9130895601483828,4.370452489087327
ID36482,36482,4,6208.0,378.34306304855465,428.79927261991037,0.0,43.0,43,44.45835397603301,1,,5.982617093191695,6.0,0.0,6.0,37170.0,0.3225089400779442,,,0.9975254255858359,18.52725603867207,-0.06416312581870237,-0.33712601450535107,48.37421967679443,41.67322734782409,-0.3822985854520717,1.1607984971511986,6209.5000000000055,302.9193846917514,0.8503786801761644,0.9636843330488097,3.844136055732387
ID36227,36227,4,3174.0,375.4450036699172,374.41627346125614,0.0,1.0,1,31.810487707331223,1,,4.973304020100502,5.0,0.0,5.0,15835.0,0.36442960294657734,,,0.9981044799586921,13.633870601353134,0.11735592972711743,-0.3899241923842764,34.46232377860212,30.21344174294131,-0.3864262592390938,1.1406288655165697,3179.000000000001,211.45132216024172,0.8934691915888852,0.9736600306278718,3.7502924974870786
ID36228,36228,4,3394.0,377.45534572636967,370.54922789416736,0.0,2.0,2,32.84436335624222,1,,4.983761440803071,5.0,0.0,5.0,16880.0,0.28452241787619054,,,0.9952774317148275,17.47477596848837,-0.15869021406580514,0.24530733113621625,36.71065305266765,29.62624725273559,-0.63671655336957,1.2391259932281133,3389.0000000000005,226.28371849731434,0.8317155460051077,0.9507644830972084,3.887026687590637
ID36997,36997,4,6519.0,272.3654234773489,408.71430946716805,0.0,112.0,112,45.54061992804323,1,,5.986172991242895,6.0,0.0,6.0,38964.0,0.2877213664251632,,,0.9978492357685896,20.783053799653807,-2.402627471061213,0.3304525267901691,67.35775146397074,32.827698155116444,-0.1162259594410795,2.05185728057124,6515.499999999999,335.76028206896615,0.7262714480320916,0.9483298158794846,4.15963713299646
ID36486,36486,4,2108.0,371.06511406844106,421.3267585551331,0.0,39.0,39,25.879026267050612,1,,6.970071258907363,7.0,0.0,7.0,14672.0,0.45684199148712873,,,0.9955499348798581,15.223049038469075,0.21330820298324044,0.1895116978107806,29.453864826349555,23.31971052206774,0.23831549240178607,1.2630459026700604,2104.0,169.25400138299887,0.9229490135791834,0.9857109393300537,3.6899125789615144
