LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixel),(pixel),(pixel),(pixel),(radians),,(pixel^2),(pixel),,,
ID12245,12245,94,3.0,186.2777777777778,123.3888888888889,0.0,250.0,250,0.9772050238058398,1,,118.0,115.0,112.0,127.0,354.0,7.937253933193772,0.3577405857740586,7.834172713282164,0.7222222222221986,-2.8888888888888946,4.618205515714206,1.0826716097814757,-1.3112232696716353,4.265564437074632,3.0,7.23606797749979,0.7199889689185959,1.0,4.1777457946839345
ID12025,12025,94,2.0,184.5,123.83333333333333,0.0,251.0,251,0.7978845608028654,1,,149.0,165.0,133.0,165.0,298.0,22.627416997969522,0.30320699708454807,3.0641293851417055,0.18041426413253206,-0.09993889671568146,1.4560262660179968,1.1206900075381765,-0.9009660445780739,1.2992230288699143,2.0,6.47213595499958,0.5999908074321633,1.0,4.576491222541474
ID12266,12266,94,3.0,185.7222222222222,124.3888888888889,0.0,252.0,252,0.9772050238058398,1,,162.66666666666666,174.0,107.0,207.0,488.0,50.95422782589619,0.329700272479564,1.5831201866564226,-0.7222222222221986,-2.8888888888888946,4.618205515714206,1.0826716097814757,1.3112232696716353,4.265564437074632,3.0,7.23606797749979,0.7199889689185959,1.0,4.1777457946839345
ID12067,12067,94,106.0,178.10301507537687,117.20519262981574,0.0,253.0,253,5.627773420748846,1,,185.88118811881188,211.0,29.0,255.0,18774.0,68.25925389699373,0.5466848472799064,1.9250371016414576,0.47236721643877483,0.31471566412875435,7.725816213765278,4.646100026016525,0.5133682756833786,1.6628605003128274,99.5,49.47635256237218,0.5107843631845944,0.8189300411522634,4.960050922574705
ID12083,12083,94,90.0,180.0483870967742,117.63978494623656,0.0,254.0,254,5.440847306724619,1,,199.18085106382978,217.0,69.0,255.0,18723.0,51.929845721774065,0.6190531094616991,2.933103318907297,0.1416051971605464,0.14580289826659637,6.639345677284369,4.711894467721518,0.5227674281338843,1.4090607764598106,93.00000000000001,49.66124285474365,0.47386828579502194,0.812227074235808,5.149630994064565
ID12060,12060,94,3.0,185.7222222222222,122.3888888888889,0.0,255.0,255,0.9772050238058398,1,,116.66666666666667,117.0,113.0,120.0,350.0,3.511884584284246,0.2622950819672131,13.805934483672713,-0.7222222222221986,-2.8888888888888946,4.618205515714206,1.0826716097814757,1.3112232696716353,4.265564437074632,3.0,7.23606797749979,0.7199889689185959,1.0,4.1777457946839345
ID12453,12453,94,85.0,179.9655172413793,116.36973180076627,0.0,256.0,256,5.262410103554244,1,,192.7816091954023,225.0,22.0,255.0,16772.0,67.32849448393601,0.5528656974100207,2.0388366964983233,-0.09091649071689692,0.39950951017435427,5.825521231923311,5.371271738876837,0.8682835142605991,1.0845701940117183,87.0,43.68169582332595,0.5729676945616378,0.7873303167420814,4.68316936351595
ID12285,12285,94,6.0,184.14102564102566,122.85897435897436,0.0,257.0,257,1.438406847937898,1,,126.57142857142857,128.0,80.0,168.0,886.0,30.42946566984673,0.27875556268291707,1.8134573995238223,0.0256410256410029,-0.02564102564103135,1.8856180831641267,1.460593486680443,-0.7853981633974483,1.2909944487358056,6.5,9.886349517372675,0.8357017280308787,1.0,3.8777453159447606
ID12477,12477,94,4.0,183.5,122.5,0.0,258.0,258,1.1283791670955126,1,,113.5,116.0,106.0,124.0,454.0,8.225975119502044,0.15619694397283534,3.7280281329762963,0.0,1.9577181618906308E-16,1.6180339887498951,1.2720196495140692,1.5707963267948966,1.272019649514069,4.0,8.0,0.7853981633974483,1.0,4.0
ID12318,12318,94,5.0,185.23333333333332,122.56666666666668,0.0,259.0,259,1.2615662610100802,1,,135.0,128.0,121.0,160.0,675.0,17.073371078963874,0.2515451174289246,3.178438892687614,-0.017534144673556584,-0.06666666666667308,6240566.263953919,0.9994543507476806,0.0,6243973.283307457,5.0,9.23606797749979,0.7365557547446142,1.0,4.1304951684997055
ID11166,11166,95,5.0,92.23333333333333,108.56666666666668,0.0,203.0,203,1.2615662610100802,1,,207.6,241.0,107.0,255.0,1038.0,60.793091712792496,0.5652173913043479,2.4662889994420754,-0.2868919270833342,-0.06666666666667705,NaN,-0.8418312607990055,0.0,NaN,5.0,9.23606797749979,0.7365557547446142,1.0,4.1304951684997055
